match_id,match_name,event_hour,topic_label,topic_post_count
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,fifa / ceremony / 2022 / opening,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,keeper / goalkeeper / qatar / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,palestinian / raisepalestineflag / palestine / flag,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,qatar / the / worldcup2022 / to,17
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,requestabet / available / hi / gt,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,supporting / support / team / ghana,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,the / watch / coverage / and,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,var / decision / minutes / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,worldcup2022 / the / cup / world,19
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,autre,37
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,crypto / eth / our / to,7
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,6
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,opening / ceremony / worldcup2022 / the,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,qatar / paid / the / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,qatar / the / worldcup2022 / to,19
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,requestabet / available / hi / gt,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,the / watch / coverage / and,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 11:00:00,worldcup2022 / the / cup / world,33
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,autre,37
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,corruption / corrupt / minutes / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,crypto / eth / our / to,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,fifa / ceremony / 2022 / opening,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,freeman / morgan / voice / morganfreeman,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,7
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,opening / ceremony / worldcup2022 / the,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,palestinian / raisepalestineflag / palestine / flag,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,qatar / the / worldcup2022 / to,14
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,supporting / support / team / ghana,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,the / watch / coverage / and,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,valencia / enner / ecuador / first,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 12:00:00,worldcup2022 / the / cup / world,30
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,autre,12
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,crypto / eth / our / to,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,fifa / ceremony / 2022 / opening,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,opening / ceremony / worldcup2022 / the,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,palestinian / raisepalestineflag / palestine / flag,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,qatar / paid / the / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,qatar / the / worldcup2022 / to,10
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,requestabet / available / hi / gt,6
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,the / watch / coverage / and,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 13:00:00,worldcup2022 / the / cup / world,11
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,autre,32
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,crypto / eth / our / to,10
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,fifa / ceremony / 2022 / opening,26
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,freeman / morgan / voice / morganfreeman,14
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,8
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,keeper / goalkeeper / qatar / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,opening / ceremony / worldcup2022 / the,17
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,palestinian / raisepalestineflag / palestine / flag,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,qatar / paid / the / worldcup2022,5
